[[-433.96354280488055], [301.87985111775885], [3.2084414978016866]]
[[-433.96354280488055], [301.26689710520554], [3.2084414978016866]]
[[-433.96354280488055], [300.65394309265184], [3.2084414978016866]]
[[-433.96354280488055], [300.04098908009854], [3.2084414978016866]]
[[-433.96354280488055], [299.42803506754524], [3.2084414978016866]]
[[-433.96354280488055], [298.8150810549917], [3.2084414978016866]]
[[-433.96354280488055], [298.20212704243824], [3.2084414978016866]]
[[-433.96354280488055], [297.5891730298849], [3.2084414978016866]]
[[-433.96354280488055], [296.97621901733146], [3.2084414978016866]]
[[-433.96354280488055], [296.363265004778], [3.2084414978016866]]
[[-433.96354280488055], [295.75031099222457], [3.2084414978016866]]
[[-433.96354280488055], [295.1373569796711], [3.2084414978016866]]
[[-433.96354280488055], [294.5244029671177], [3.2084414978016866]]
[[-433.96354280488055], [293.9114489545643], [3.2084414978016866]]
[[-433.96354280488055], [293.2984949420109], [3.2084414978016866]]
[[-433.96354280488055], [292.6855409294574], [3.2084414978016866]]
[[-433.96354280488055], [292.0725869169039], [3.2084414978016866]]
[[-433.96354280488055], [291.45963290435054], [3.2084414978016866]]
[[-433.96354280488055], [290.8466788917972], [3.2084414978016866]]
[[-433.96354280488055], [290.23372487924365], [3.2084414978016866]]
[[-433.96354280488055], [289.62077086669024], [3.2084414978016866]]
[[-433.96354280488055], [289.0078168541369], [3.2084414978016866]]
[[-433.96354280488055], [288.3948628415834], [3.2084414978016866]]
[[-433.96354280488055], [287.78190882903004], [3.2084414978016866]]
[[-433.96354280488055], [287.16895481647657], [3.2084414978016866]]
[[-433.96354280488055], [286.55600080392315], [3.2084414978016866]]
[[-433.96354280488055], [285.94304679136974], [3.2084414978016866]]
[[-433.96354280488055], [285.3300927788164], [3.2084414978016866]]
[[-433.96354280488055], [284.7171387662628], [3.2084414978016866]]
[[-433.96354280488055], [284.1041847537094], [3.2084414978016866]]
[[-433.96354280488055], [283.4912307411561], [3.2084414978016866]]
[[-433.96354280488055], [282.87827672860254], [3.2084414978016866]]
[[-433.96354280488055], [282.2653227160491], [3.2084414978016866]]
[[-433.96354280488055], [281.65236870349565], [3.2084414978016866]]
[[-433.96354280488055], [281.03941469094235], [3.2084414978016866]]
[[-433.96354280488055], [280.42646067838893], [3.2084414978016866]]
[[-433.96354280488055], [279.81350666583546], [3.2084414978016866]]
[[-433.96354280488055], [279.200552653282], [3.2084414978016866]]
[[-433.96354280488055], [278.58759864072863], [3.2084414978016866]]
[[-433.96354280488055], [277.97464462817516], [3.2084414978016866]]
[[-433.96354280488055], [277.3616906156217], [3.2084414978016866]]
[[-433.96354280488055], [276.74873660306827], [3.2084414978016866]]
[[-433.96354280488055], [276.13578259051485], [3.2084414978016866]]
[[-433.96354280488055], [275.5228285779614], [3.2084414978016866]]
[[-433.96354280488055], [274.909874565408], [3.2084414978016866]]
[[-433.96354280488055], [274.29692055285454], [3.2084414978016866]]
[[-433.96354280488055], [273.68396654030107], [3.2084414978016866]]
[[-433.96354280488055], [273.0710125277477], [3.2084414978016866]]
[[-433.96354280488055], [272.45805851519435], [3.2084414978016866]]
[[-433.96354280488055], [271.8451045026409], [3.2084414978016866]]
[[-433.96354280488055], [271.2321504900874], [3.2084414978016866]]
[[-433.96354280488055], [270.61919647753405], [3.2084414978016866]]
[[-433.96354280488055], [270.0062424649806], [3.2084414978016866]]
[[-433.96354280488055], [269.3932884524272], [3.2084414978016866]]
[[-433.96354280488055], [268.7803344398737], [3.2084414978016866]]
[[-433.96354280488055], [268.16738042732027], [3.2084414978016866]]
[[-433.96354280488055], [267.5544264147668], [3.2084414978016866]]
[[-433.96354280488055], [266.94147240221344], [3.2084414978016866]]
[[-433.96354280488055], [266.3285183896601], [3.2084414978016866]]
[[-433.96354280488055], [265.71556437710655], [3.2084414978016866]]
[[-433.96354280488055], [265.10261036455313], [3.2084414978016866]]
[[-433.96354280488055], [264.48965635199977], [3.2084414978016866]]
[[-433.96354280488055], [263.8767023394463], [3.2084414978016866]]
[[-433.96354280488055], [263.2637483268929], [3.2084414978016866]]
[[-433.96354280488055], [262.65079431433946], [3.2084414978016866]]
[[-433.96354280488055], [262.0378403017861], [3.2084414978016866]]
[[-433.96354280488055], [261.4248862892326], [3.2084414978016866]]
[[-433.96354280488055], [260.81193227667916], [3.2084414978016866]]
[[-433.96354280488055], [260.19897826412574], [3.2084414978016866]]
[[-433.96354280488055], [259.5860242515723], [3.2084414978016866]]
[[-433.96354280488055], [258.97307023901885], [3.2084414978016866]]
[[-433.96354280488055], [258.36011622646544], [3.2084414978016866]]
[[-433.96354280488055], [257.7471622139121], [3.2084414978016866]]
[[-433.96354280488055], [257.13420820135855], [3.2084414978016866]]
[[-433.96354280488055], [256.52125418880513], [3.2084414978016866]]
[[-433.96354280488055], [255.9083001762518], [3.2084414978016866]]
[[-433.96354280488055], [255.29534616369833], [3.2084414978016866]]
[[-433.96354280488055], [254.6823921511449], [3.2084414978016866]]
[[-433.96354280488055], [254.0694381385915], [3.2084414978016866]]
[[-433.96354280488055], [253.456484126038], [3.2084414978016866]]
[[-433.96354280488055], [252.84353011348466], [3.2084414978016866]]
[[-433.96354280488055], [252.23057610093122], [3.2084414978016866]]
[[-433.96354280488055], [251.61762208837777], [3.2084414978016866]]
[[-433.96354280488055], [251.00466807582433], [3.2084414978016866]]
[[-433.96354280488055], [250.3917140632709], [3.2084414978016866]]
[[-433.96354280488055], [249.77876005071747], [3.2084414978016866]]
[[-433.96354280488055], [249.16580603816396], [3.2084414978016866]]
[[-433.96354280488055], [248.55285202561063], [3.2084414978016866]]
[[-433.96354280488055], [247.9398980130572], [3.2084414978016866]]
[[-433.96354280488055], [247.32694400050383], [3.2084414978016866]]
[[-433.96354280488055], [246.71398998795033], [3.2084414978016866]]
[[-433.96354280488055], [246.10103597539688], [3.2084414978016866]]
[[-433.96354280488055], [245.48808196284347], [3.2084414978016866]]
[[-433.96354280488055], [244.87512795029005], [3.2084414978016866]]
[[-433.96354280488055], [244.26217393773666], [3.2084414978016866]]
[[-433.96354280488055], [243.64921992518322], [3.2084414978016866]]
[[-433.96354280488055], [243.03626591262977], [3.2084414978016866]]
[[-433.96354280488055], [242.42331190007633], [3.2084414978016866]]
[[-433.96354280488055], [241.81035788752297], [3.2084414978016866]]
[[-433.96354280488055], [241.19740387496947], [3.2084414978016866]]
[[-433.96354280488055], [240.584449862416], [3.2084414978016866]]
[[-433.96354280488055], [239.97149584986266], [3.2084414978016866]]
[[-433.96354280488055], [239.35854183730925], [3.2084414978016866]]
[[-433.96354280488055], [238.74558782475575], [3.2084414978016866]]
