[[-385.95756145318956], [264.2411963611325], [107.39246389458515]]
[[-385.9538599564045], [263.693106512737], [107.39246177416408]]
[[-385.95015854212846], [263.1450288816612], [107.39245965379075]]
[[-385.94645721035874], [262.5969634674964], [107.3924575334645]]
[[-385.94275596109253], [262.04891026983415], [107.39245541318553]]
[[-385.939054794327], [261.50086928826613], [107.39245329295409]]
[[-385.93535371005953], [260.95284052238395], [107.39245117276971]]
[[-385.93165270828746], [260.40482397177885], [107.39244905263251]]
[[-385.9279517890078], [259.85681963604287], [107.3924469325425]]
[[-385.9242509522176], [259.30882751476736], [107.39244481249989]]
[[-385.9205501979148], [258.7608476075439], [107.39244269250446]]
[[-385.91684952609603], [258.2128799139641], [107.39244057255632]]
[[-385.91314893675866], [257.6649244336199], [107.39243845265548]]
[[-385.9094484299], [257.1169811661029], [107.39243633280194]]
[[-385.90574800551735], [256.5690501110047], [107.39243421299557]]
[[-385.90204766360796], [256.0211312679171], [107.39243209323638]]
[[-385.89834740416893], [255.47322463643184], [107.39242997352437]]
[[-385.89464722719754], [254.92533021614048], [107.39242785385966]]
[[-385.8909471326911], [254.37744800663523], [107.39242573424235]]
[[-385.8872471206468], [253.82957800750745], [107.39242361467211]]
[[-385.8835471910619], [253.28172021834922], [107.39242149514916]]
[[-385.8798473439337], [252.73387463875218], [107.39241937567351]]
[[-385.87614757925945], [252.18604126830854], [107.39241725624504]]
[[-385.8724478970362], [251.63822010660965], [107.39241513686375]]
[[-385.8687482972614], [251.09041115324777], [107.39241301752986]]
[[-385.8650487799322], [250.54261440781477], [107.39241089824304]]
[[-385.8613493450458], [249.99482986990245], [107.39240877900352]]
[[-385.8576499925996], [249.44705753910284], [107.39240665981106]]
[[-385.85395072259075], [248.89929741500777], [107.392404540666]]
[[-385.8502515350166], [248.3515494972096], [107.39240242156802]]
[[-385.8465524298741], [247.80381378529967], [107.39240030251756]]
[[-385.84285340716076], [247.25609027887054], [107.39239818351405]]
[[-385.83915446687377], [246.70837897751403], [107.39239606455794]]
[[-385.8354556090104], [246.16067988082227], [107.3923939456489]]
[[-385.8317568335678], [245.6129929883873], [107.39239182678716]]
[[-385.82805814054336], [245.06531829980116], [107.3923897079726]]
[[-385.82435952993416], [244.5176558146561], [107.39238758920521]]
[[-385.82066100173745], [243.97000553254412], [107.39238547048501]]
[[-385.8169625559506], [243.42236745305723], [107.3923833518121]]
[[-385.81326419257084], [242.87474157578782], [107.39238123318637]]
[[-385.80956591159537], [242.32712790032804], [107.39237911460782]]
[[-385.8058677130214], [241.77952642627002], [107.39237699607645]]
[[-386.43660667135407], [241.4782571087241], [106.39234650757874]]
[[-386.4328975851541], [240.93008840216743], [106.39235553943206]]
[[-386.4291885816826], [240.38193192210582], [106.39236457108393]]
[[-386.42547966093656], [239.83378766813007], [106.39237360253435]]
[[-386.4217708229136], [239.28565563983096], [106.39238263378343]]
[[-386.41806206761055], [238.73753583679974], [106.39239166483094]]
[[-386.41435339502493], [238.18942825862717], [106.39240069567722]]
[[-386.410644805154], [237.64133290490446], [106.39240972632183]]
[[-386.4069362979948], [237.0932497752226], [106.3924187567651]]
[[-386.40322787354467], [236.54517886917262], [106.39242778700702]]
[[-386.39951953180054], [235.99712018634563], [106.3924368170475]]
[[-386.39581127276017], [235.44907372633276], [106.39244584688663]]
[[-386.3921030964205], [234.90103948872496], [106.39245487652443]]
[[-386.3883950027787], [234.35301747311365], [106.39246390596065]]
[[-386.3846869918322], [233.80500767908967], [106.39247293519566]]
[[-386.380979063578], [233.2570101062444], [106.39248196422955]]
[[-386.37727121801373], [232.7090247541689], [106.39249099306176]]
[[-386.37356345513615], [232.16105162245447], [106.39250002169274]]
[[-386.3698557749428], [231.61309071069232], [106.39250905012204]]
[[-386.3661481774307], [231.06514201847347], [106.39251807835069]]
[[-386.3624406625974], [230.5172055453897], [106.39252710637743]]
[[-386.35873323043984], [229.96928129103176], [106.39253613420306]]
[[-386.3550258809554], [229.42136925499113], [106.39254516182746]]
[[-386.3513186141411], [228.87346943685924], [106.39255418925029]]
[[-386.3476114299946], [228.32558183622731], [106.39256321647201]]
[[-386.3439043285127], [227.77770645268677], [106.39257224349251]]
[[-386.34019730969277], [227.2298432858289], [106.39258127031167]]
[[-386.3364903735322], [226.68199233524513], [106.39259029692948]]
[[-386.33278352002804], [226.13415360052667], [106.39259932334619]]
[[-386.32907674917766], [225.5863270812654], [106.39260834956121]]
[[-386.32537006097823], [225.03851277705243], [106.39261737557524]]
[[-386.321663455427], [224.49071068747918], [106.39262640138816]]
[[-386.3179569325212], [223.9429208121373], [106.39263542699962]]
[[-386.31425049225794], [223.39514315061817], [106.39264445240985]]
[[-386.3105441346347], [222.84737770251348], [106.39265347761898]]
[[-386.3068378596486], [222.2996244674145], [106.39266250262688]]
[[-386.3031316672969], [221.75188344491298], [106.39267152743344]]
[[-386.29942555757674], [221.20415463460048], [106.39268055203888]]
[[-386.2957195304854], [220.65643803606855], [106.39268957644288]]
[[-386.2920135860202], [220.10873364890872], [106.39269860064599]]
[[-386.2883077241783], [219.56104147271267], [106.39270762464764]]
[[-386.2846019449569], [219.01336150707212], [106.39271664844841]]
[[-386.28089624835343], [218.46569375157858], [106.39272567204785]]
[[-386.27719063436484], [217.91803820582388], [106.39273469544605]]
[[-386.2734851029886], [217.37039486939958], [106.39274371864326]]
[[-386.2697796542219], [216.82276374189752], [106.39275274163924]]
[[-386.2660742880619], [216.2751448229095], [106.39276176443389]]
[[-386.2623690045058], [215.727538112027], [106.39277078702753]]
[[-386.25866380355103], [215.17994360884194], [106.39277980942018]]
[[-386.25495868519454], [214.63236131294613], [106.39278883161148]]
[[-386.2512536494339], [214.08479122393146], [106.39279785360179]]
[[-386.2475486962662], [213.53723334138962], [106.39280687539076]]
[[-386.87907067409463], [213.2057414583145], [105.39121622535436]]
[[-386.8753548121248], [212.65761644471837], [105.3912364320779]]
[[-386.8716390330754], [212.10950366270342], [105.39125663835034]]
[[-386.867923336944], [211.56140311186047], [105.39127684417201]]
[[-386.86420772372753], [211.0133147917799], [105.3912970495428]]
[[-386.8604921934235], [210.46523870205246], [105.39131725446282]]
[[-386.8567767460288], [209.91717484226876], [105.39133745893184]]
[[-386.85306138154095], [209.36912321201928], [105.39135766295021]]
[[-386.84934609995713], [208.82108381089512], [105.39137786651759]]
[[-386.8456309012745], [208.27305663848648], [105.39139806963408]]
[[-386.84191578549024], [207.72504169438426], [105.39141827229992]]
[[-386.83820075260155], [207.17703897817935], [105.39143847451498]]
[[-386.8344858026058], [206.6290484894622], [105.39145867627929]]
[[-386.83077093550025], [206.0810702278238], [105.3914788775927]]
[[-386.82705615128197], [205.53310419285478], [105.39149907845547]]
[[-386.8233414499482], [204.985150384146], [105.39151927886746]]
[[-386.81962683149624], [204.43720880128825], [105.3915394788288]]
[[-386.8159122959232], [203.88927944387243], [105.39155967833949]]
[[-386.81219784322656], [203.34136231148926], [105.3915798773993]]
[[-386.80848347340327], [202.79345740372972], [105.39160007600879]]
[[-386.8047691864506], [202.24556472018466], [105.3916202741674]]
[[-386.8010549823659], [201.69768426044504], [105.39164047187546]]
[[-386.7973408611463], [201.14981602410168], [105.39166066913276]]
[[-386.79362682278907], [200.60196001074564], [105.39168086593952]]
[[-386.78991286729155], [200.05411621996777], [105.39170106229562]]
[[-386.78619899465076], [199.50628465135918], [105.3917212582013]]
[[-386.78248520486403], [198.95846530451072], [105.39174145365644]]
[[-386.7787714979284], [198.41065817901347], [105.3917616486608]]
[[-386.77505787384155], [197.86286327445842], [105.39178184321486]]
[[-386.77134433260017], [197.31508059043668], [105.39180203731848]]
[[-386.76763087420204], [196.76731012653946], [105.39182223097134]]
[[-386.7639174986439], [196.21955188235748], [105.39184242417389]]
[[-386.7602042059232], [195.67180585748216], [105.39186261692589]]
[[-386.7564909960371], [195.1240720515046], [105.39188280922747]]
[[-386.75277786898283], [194.5763504640158], [105.39190300107873]]
[[-386.7490648247578], [194.02864109460694], [105.39192319247934]]
[[-386.745351863359], [193.48094394286932], [105.39194338342975]]
[[-386.7416389847838], [192.93325900839415], [105.39196357392962]]
[[-386.73792618902934], [192.38558629077247], [105.39198376397917]]
[[-386.7342134760928], [191.83792578959563], [105.39200395357852]]
[[-386.7305008459718], [191.29027750445485], [105.39202414272722]]
[[-386.726788298663], [190.74264143494142], [105.39204433142561]]
[[-386.723075834164], [190.19501758064658], [105.39206451967414]]
[[-386.7193634524717], [189.6474059411617], [105.39208470747212]]
[[-386.7156511535838], [189.09980651607805], [105.39210489481957]]
[[-386.7119389374972], [188.55221930498712], [105.39212508171693]]
[[-386.7082268042093], [188.0046443074801], [105.39214526816397]]
[[-386.70451475371715], [187.45708152314845], [105.39216545416093]]
[[-386.70080278601813], [186.90953095158358], [105.39218563970746]]
[[-386.6970909011094], [186.36199259237688], [105.39220582480368]]
[[-386.6933790989882], [185.8144664451197], [105.39222600945016]]
[[-386.6896673796518], [185.26695250940358], [105.39224619364609]]
[[-386.68595574309734], [184.71945078482017], [105.39226637739193]]
[[-386.68224418932215], [184.17196127096062], [105.39228656068758]]
[[-386.6785327183234], [183.62448396741658], [105.39230674353325]]
[[-386.6748213300984], [183.07701887377956], [105.39232692592873]]
[[-386.6711100246443], [182.52956598964118], [105.39234710787412]]
[[-386.6673988019582], [181.98212531459293], [105.39236728936953]]
[[-387.29963897054483], [181.61687601843403], [104.38928119110574]]
[[-387.29591681982106], [181.06886846808905], [104.38931259066578]]
[[-387.2921947521937], [180.52087315195024], [104.38934398952495]]
[[-387.28847276766044], [179.97289006960818], [104.38937538768289]]
[[-387.284750866218], [179.42491922065304], [104.38940678514018]]
[[-387.281029047864], [178.8769606046752], [104.3894381818966]]
[[-387.27730731259544], [178.32901422126517], [104.3894695779519]]
[[-387.2735856604094], [177.7810800700131], [104.38950097330633]]
[[-387.2698640913032], [177.23315815050955], [104.38953236796021]]
[[-387.26614260527435], [176.68524846234484], [104.38956376191311]]
[[-387.26242120231973], [176.13735100510954], [104.38959515516513]]
[[-387.25869988243664], [175.58946577839404], [104.38962654771638]]
[[-387.25497864562226], [175.0415927817888], [104.38965793956697]]
[[-387.251257491874], [174.49373201488447], [104.38968933071658]]
[[-387.24753642118895], [173.94588347727137], [104.38972072116553]]
[[-387.2438154335643], [173.39804716854002], [104.38975211091417]]
[[-387.24009452899725], [172.8502230882811], [104.38978349996171]]
[[-387.2363737074852], [172.30241123608513], [104.38981488830893]]
[[-387.232652969025], [171.75461161154277], [104.38984627595528]]
[[-387.2289323136142], [171.20682421424442], [104.3898776629012]]
[[-387.86231107088355], [170.82977444932237], [103.38486615683894]]
[[-387.85857945553676], [170.28141946257867], [103.38490880463655]]
[[-387.85484792356897], [169.7330767282512], [103.38495145148113]]
[[-387.8511164749774], [169.18474624592932], [103.38499409737278]]
[[-387.8473851097593], [168.6364280152025], [103.38503674231163]]
[[-387.8436538279117], [168.08812203565998], [103.38507938629766]]
[[-387.839922629432], [167.53982830689125], [103.38512202933089]]
[[-387.8361915143175], [166.9915468284858], [103.3851646714113]]
[[-387.8324604825651], [166.443277600033], [103.38520731253925]]
[[-387.82872953417234], [165.8950206211222], [103.38524995271405]]
[[-387.82499866913594], [165.34677589134316], [103.38529259193649]]
[[-387.8212678874538], [164.79854341028505], [103.38533523020624]]
[[-387.8175371891225], [164.25032317753778], [103.38537786752352]]
[[-387.81380657413956], [163.7021151926905], [103.3854205038881]]
[[-387.8100760425021], [163.15391945533307], [103.3854631393001]]
[[-387.8063455942074], [162.60573596505495], [103.38550577375963]]
[[-387.8026152292525], [162.05756472144552], [103.38554840726681]]
[[-387.79888494763503], [161.50940572409473], [103.38559103982129]]
[[-387.7951547493515], [160.961258972592], [103.38563367142353]]
[[-387.79142463439973], [160.41312446652717], [103.3856763020733]]
[[-387.78769460277647], [159.86500220548956], [103.38571893177095]]
[[-387.7839646544795], [159.31689218906916], [103.38576156051602]]
[[-387.78023478950547], [158.76879441685566], [103.38580418830907]]
[[-387.7765050078518], [158.2207088884386], [103.38584681514965]]
[[-387.7727753095159], [157.6726356034079], [103.3858894410381]]
[[-387.7690456944946], [157.12457456135323], [103.3859320659742]]
[[-387.7653161627853], [156.5765257618643], [103.38597468995829]]
[[-387.7615867143852], [156.028489204531], [103.38601731299036]]
